"Table S2. Characterization of AGO1 Binding Sites and Associated Genes, related to Figures 1-5"																								
Peak ID	Chromosome	Start	End	Relative ChIP signala (RPKM)			Normalized ChIP signal (RPKM)			Associated genes	Gene ID	RNA-seq  (RPKM)				GRO-seq  (RPKM)		PolII  (RPKM)		PolII_Ser2P  (RPKM)		PolII_Ser5P (RPKM)		Nuclear AGO1-bound sRNAs  (RPKM)
AGO1_peak_111	Chr1	9275197	9275554	-2.39	6.4	4.07	8.81	9.21	6.2	At1g26790_promoter_1k	At1g26790	0.44	0.00	NA	1.00	0.03	0.05	6.23	7.08	5.22	4.69	4.16	5.06	0.19
AGO1_peak_112	Chr1	9324925	9325263	-0.41	9.9	8.42	14.21	15.94	12.48	.	NA													
AGO1_peak_113	Chr1	9325900	9326157	-1.2	6.28	13.57	11.77	10.9	13.95	At1g26916_promoter_1k	At1g26916	0.00	0.00	0.00	1.00	0.00	0.00						0.00	
AGO1_peak_114	Chr1	9326413	9326613	NA	2.4	15.47	10.97	8.35	10.02	At1g26916_promoter_1k	At1g26916	0.00	0.00	0.00	1.00	0.00	0.00						0.00	
AGO1_peak_115	Chr1	9326859	9327452	-0.24	5.72	5.55	12.3	8	9.6	At1g26916_promoter_1k;At1g26916	At1g26916	0.00	0.00	0.00	1.00	0.00	0.00						0.00	
AGO1_peak_116	Chr1	9329111	9330750	-1.96	6.75	11.6	15.81	12.43	13.64	At1g26920;At1g26920_downstream_1k;At1g26921_downstream_1k	At1g26920	68.70	40.68	-0.76	0.09	13.97	4.16	99.45	32.68	49.73	23.64	72.80	39.06	10.05
											At1g26921	0.00	3.27	NA	1.00	0.12	0.11	3.62	2.02	9.62	4.21	6.77	3.73	1.86
AGO1_peak_117	Chr1	9342763	9343204	-11.38	1.09	6.99	12.37	9.04	15.78	At1g26940_promoter_1k	At1g26940	7.53	7.92	0.07	0.97	1.14	0.37	8.00	7.55	7.48	7.84	7.77	8.47	0.00
AGO1_peak_118	Chr1	9350157	9350440	-3.02	0.71	7.39	10.27	11.04	12.67	.	NA													
AGO1_peak_119	Chr1	9456242	9456868	-3.71	11.79	3.55	15.63	11.1	18.02	At1g27210	At1g27210	25.55	22.15	-0.21	0.81	16.51	4.45	31.44	20.61	20.98	22.26	30.09	28.57	5.97
AGO1_peak_120	Chr1	9481880	9482159	-0.63	7.26	3.42	21.05	22.02	25.32	At1g27290	At1g27290	100.86	76.79	-0.39	0.51	21.37	6.59	48.32	30.00	44.95	41.97	64.12	57.64	27.24
AGO1_peak_121	Chr1	9933389	9935331	-1.94	17.26	29.92	10.87	9.32	11.08	At1g28327_downstream_1k;At1g28330_downstream_1k;At1g28330	At1g28327	0.00	0.00	0.00	1.00	0.10	0.04	13.18	6.96	10.21	6.50	9.68	5.22	0.18
											At1g28330	347.80	183.07	-0.93	0.08	51.91	2.87	103.76	35.71	52.68	34.67	75.81	55.98	15.46
AGO1_peak_122	Chr1	9991640	9992041	-4.77	5.05	10.37	9.47	7.66	11.31	.	NA													
AGO1_peak_123	Chr1	10074182	10074674	-5.83	4.93	7.93	11.94	8.43	8.79	At1g28670_downstream_1k;At1g28670	At1g28670	58.53	38.35	-0.61	0.21	7.52	1.93	26.86	12.52	18.04	9.99	27.77	12.05	114.62
AGO1_peak_124	Chr1	10074882	10075231	-2.74	8.64	6.61	8.16	12.04	8.46	At1g28670	At1g28670	58.53	38.35	-0.61	0.21	7.52	1.93	26.86	12.52	18.04	9.99	27.77	12.05	114.62
AGO1_peak_125	Chr1	10180125	10180406	-2.2	2.48	9.58	13.51	11.7	12.01	At1g29140_downstream_1k;At1g29150_promoter_1k	At1g29140	0.05	0.05	-0.07	1.00	0.07	0.00	6.87	6.70	6.00	4.84	3.72	5.34	0.25
											At1g29150	86.41	93.81	0.12	0.91	4.81	3.62	10.68	10.55	15.19	15.66	14.79	17.22	0.13
AGO1_peak_126	Chr1	10289250	10289758	-0.65	1.3	7.62	12.14	14.21	14.74	At1g29395	At1g29395	86.31	16.68	-2.37	0.00	6.73	1.12	29.01	11.59	11.29	10.28	10.83	11.32	1.17
AGO1_peak_127	Chr1	10715463	10716029	-2.9	1.39	9.38	18.86	17.42	12.48	At1g30360	At1g30360	172.70	71.34	-1.28	0.00	20.32	10.01	34.59	51.27	29.89	45.11	41.31	61.34	1.67
AGO1_peak_128	Chr1	10722138	10723707	-1.96	5.45	9.57	24.87	21.16	22.85	At1g30380	At1g30380	2281.53	911.79	-1.32	0.00	87.66	11.76	74.30	39.70	44.32	35.54	65.79	50.89	12.73
AGO1_peak_129	Chr1	10758987	10759273	-2.75	3.15	9.55	15.35	10.55	15.12	At1g30440_promoter_1k	At1g30440	27.01	16.64	-0.70	0.13	2.48	1.28	8.38	7.35	14.99	11.97	14.95	11.87	0.48
AGO1_peak_130	Chr1	10958727	10959154	-1.21	5.3	1.62	10.7	6.18	9.63	.	NA													
AGO1_peak_131	Chr1	10959552	10960052	-1.16	9.25	13.41	11.39	8.41	10.33	.	NA													
AGO1_peak_132	Chr1	11196255	11196647	0.08	4.54	2.09	13.47	11.41	6.72	At1g31300_downstream_1k	At1g31300	28.84	21.07	-0.45	0.44	5.53	2.39	8.09	7.83	13.13	12.74	13.94	12.29	1.04
AGO1_peak_133	Chr1	11222091	11222320	-2.99	5.64	10.46	18.39	19.53	24.87	At1g31350	At1g31350	3.94	3.41	-0.21	0.89	1.12	2.89	24.78	18.68	15.09	18.16	22.24	22.48	1.73
AGO1_peak_134	Chr1	11231039	11231387	-4.9	5.7	7	10.4	10.22	12.73	.	NA													
AGO1_peak_135	Chr1	11534439	11534873	-1.81	20.57	4.94	20.91	18.62	11.91	.	NA													
AGO1_peak_136	Chr1	11545680	11545928	-6.88	6.88	4.01	10.28	8.47	5.53	At1g32100_downstream_1k	At1g32100	18.57	8.96	-1.05	0.04	0.41	0.30	8.47	8.08	7.17	6.10	6.97	6.64	0.34
AGO1_peak_137	Chr1	11739892	11740367	-5.03	7.46	5.88	11.74	15.43	16.65	At1g32470	At1g32470	475.07	416.94	-0.19	0.85	25.58	4.67	31.01	26.91	39.61	34.15	54.96	37.20	3.69
AGO1_peak_138	Chr1	11771273	11771801	-0.46	3.59	10.85	17.41	16.53	16.18	At1g32550_downstream_1k	At1g32550	48.91	45.18	-0.11	0.92	1.14	0.47	8.53	7.51	12.18	8.70	11.90	8.99	0.35
AGO1_peak_139	Chr1	11936472	11936684	-9.82	3.13	2.99	15.95	7.63	9.95	.	NA													
AGO1_peak_140	Chr1	12051089	12051300	-2.27	5.1	8.87	17.99	13.02	17.99	At1g33240_downstream_1k	At1g33240	65.62	34.63	-0.92	0.03	41.13	8.57	29.27	16.20	28.20	18.44	39.49	23.61	20.65
AGO1_peak_141	Chr1	12051523	12052070	-2	4.8	5.9	16.48	14.28	17.54	At1g33240	At1g33240	65.62	34.63	-0.92	0.03	41.13	8.57	29.27	16.20	28.20	18.44	39.49	23.61	20.65
AGO1_peak_142	Chr1	12147138	12147449	-4.94	7.17	0.9	12.02	10.74	10.85	At1g33475	At1g33475	2.06	1.71	-0.27	0.89	0.45	0.35	13.14	9.08	16.91	15.20	15.51	12.35	1.43
AGO1_peak_143	Chr1	12359512	12360038	-0.98	9.2	4.42	17.37	13.42	14.43	At1g34010	At1g34010	7.35	6.36	-0.21	0.88	1.78	1.05	23.12	13.49	14.76	11.36	18.60	13.82	2.53
AGO1_peak_144	Chr1	13116081	13116535	-1.67	4.29	4.41	16.46	14.72	12.77	At1g35560	At1g35560	8.55	5.83	-0.55	0.43	1.04	0.56	20.90	15.24	13.97	9.32	15.99	10.02	11.86
AGO1_peak_145	Chr1	16127242	16127860	-7.68	8.17	1.45	13.53	12.56	14.33	At1g42970	At1g42970	1262.98	1038.93	-0.28	0.77	22.31	6.59	23.24	22.66	36.93	17.63	57.01	20.92	6.90
AGO1_peak_146	Chr1	16964924	16965211	-0.14	2.06	3.7	13.02	9.39	13.59	At1g44890_downstream_1k	At1g44890	3.18	4.63	0.54	0.61	0.28	0.30	8.87	8.39	6.52	5.63	6.97	6.01	0.31
AGO1_peak_147	Chr1	17235223	17235377	NA	1.03	6.3	12.32	8.75	13.69	.	NA													
AGO1_peak_148	Chr1	17235963	17236208	-3.48	9.18	3.64	10.89	10.34	8.61	At1g46480_downstream_1k	At1g46480	7.10	10.77	0.60	0.39	0.36	0.25	8.23	6.49	5.03	5.48	6.44	7.22	0.20
AGO1_peak_149	Chr1	17847029	17847696	-1.95	4.48	10.83	16.63	17.29	17.07	At1g48300	At1g48300	81.51	111.05	0.45	0.47	15.65	6.45	67.48	26.92	47.48	40.49	66.78	52.34	6.22
AGO1_peak_150	Chr1	17847796	17848147	-1.17	6.86	1.27	16.73	16.12	19.23	At1g48300	At1g48300	81.51	111.05	0.45	0.47	15.65	6.45	67.48	26.92	47.48	40.49	66.78	52.34	6.22
AGO1_peak_151	Chr1	17848359	17848699	NA	7.62	0.53	17.97	16.96	16.44	At1g48300;At1g48310	At1g48300	81.51	111.05	0.45	0.47	15.65	6.45	67.48	26.92	47.48	40.49	66.78	52.34	6.22
											At1g48310	4.99	4.75	-0.07	0.99	0.94	0.57	11.96	8.34	10.12	9.27	10.87	8.86	0.47
AGO1_peak_152	Chr1	18197858	18198966	-2.53	5.6	7.61	13.12	11.48	13.7	At1g49200	At1g49200	8.36	2.47	-1.76	0.02	1.52	0.24	48.86	15.78	16.41	7.96	29.96	11.83	4.44
AGO1_peak_153	Chr1	18286780	18287104	-7.9	1.2	7.11	12.08	9.31	17.25	At1g49410_promoter_1k	At1g49410	68.62	62.97	-0.12	0.92	5.18	3.89	9.17	8.70	11.99	14.63	12.44	15.45	0.38
AGO1_peak_154	Chr1	18316539	18316758	-4.84	6.55	1.27	10.56	9.1	9.15	At1g49480_promoter_1k	At1g49480	30.78	37.26	0.28	0.71	2.71	1.62	11.81	11.20	19.96	15.05	23.08	16.78	1.24
AGO1_peak_155	Chr1	18321307	18322772	-1.52	13.92	20.88	17.09	18.32	15.76	At1g49500	At1g49500	118.06	36.65	-1.69	0.00	18.14	3.43	126.24	69.68	66.90	50.69	84.77	71.70	20.55
AGO1_peak_156	Chr1	18323230	18323884	0.41	2.64	11.14	11.43	13.92	14.51	.	NA													
AGO1_peak_157	Chr1	18351639	18351955	-0.44	0.74	8.62	16.52	12.62	19.02	At1g49580	At1g49580	17.51	8.72	-1.01	0.02	1.56	0.69	7.95	7.04	9.06	6.68	10.23	7.14	0.35
AGO1_peak_158	Chr1	18402204	18402518	-6.42	2.68	5.9	12.28	11.33	11.75	At1g49720	At1g49720	22.52	24.40	0.12	0.94	5.56	2.00	15.41	10.04	19.88	17.17	19.86	18.05	0.88
AGO1_peak_159	Chr1	18429113	18429455	-4.8	0.3	6.33	12.31	17.17	16.96	At1g49780	At1g49780	14.20	6.07	-1.23	0.02	1.41	0.86	29.23	21.24	15.10	15.72	19.70	22.69	1.38
AGO1_peak_160	Chr1	18504806	18505059	-14.16	4.46	8.67	14.54	17.25	17.09	At1g49975	At1g49975	63.53	47.94	-0.41	0.53	5.79	1.53	25.57	13.94	20.75	14.29	28.26	17.75	60.21
AGO1_peak_161	Chr1	18548706	18549116	-4.41	3.47	1.5	12.01	12.35	12.6	At1g50050	At1g50050	0.19	0.53	1.48	1.00	0.27	0.41	8.21	6.95	9.56	8.36	8.19	6.31	235.34
AGO1_peak_162	Chr1	18626202	18626501	-4.23	6.73	9.55	11.11	10.63	10.58	At1g50280	At1g50280	3.83	0.79	-2.28	0.09	2.31	0.45	10.28	7.55	12.35	8.06	12.98	6.38	1.86
AGO1_peak_163	Chr1	18942565	18942778	-6.74	7.28	6.46	16.43	12.4	12.38	At1g51130_promoter_1k;At1g51140_downstream_1k	At1g51130	3.06	1.40	-1.13	0.15	0.26	0.32	6.16	5.60	6.10	5.72	6.11	5.38	0.23
											At1g51140	12.17	8.44	-0.53	0.40	1.06	0.64	8.98	6.81	7.54	5.48	7.12	6.19	0.36
AGO1_peak_164	Chr1	19125627	19126000	1.26	1.79	6.48	14.95	14.59	16.4	At1g51580	At1g51580	19.30	13.99	-0.46	0.73	1.87	1.04	17.52	11.98	18.08	15.52	16.44	11.68	2.16
AGO1_peak_165	Chr1	19153973	19154450	-7.94	2.16	8.23	14.3	10.51	13.04	At1g51650_downstream_1k;At1g51660_promoter_1k	At1g51650	203.06	295.59	0.54	0.29	13.17	8.57	12.89	13.64	17.89	19.43	19.35	22.02	0.21
											At1g51660	10.15	9.64	-0.07	0.96	1.66	2.26	28.83	41.52	26.44	28.16	34.51	39.09	0.51
AGO1_peak_166	Chr1	19305099	19305538	2.25	7.48	12.96	14.46	10.56	16.33	At1g51950	At1g51950	12.69	12.36	-0.04	0.98	3.46	1.46	24.68	14.90	21.56	13.88	27.11	18.35	3.30
AGO1_peak_167	Chr1	19825250	19825687	-5.24	4.27	12.24	16.42	13.81	12.07	.	NA													
AGO1_peak_168	Chr1	19913206	19913609	-2.88	3.55	4.85	14.28	15.38	14.39	At1g53380	At1g53380	15.44	13.95	-0.15	0.88	1.70	1.62	12.63	13.96	17.57	19.19	20.09	21.68	1.62
AGO1_peak_169	Chr1	20227158	20227472	-4.9	5.72	9.91	13.6	11.5	11.08	At1g54180	At1g54180	2.69	2.11	-0.35	0.77	0.55	0.29	8.72	7.81	8.66	7.81	8.30	7.42	0.09
AGO1_peak_170	Chr1	20239484	20239882	-7.8	5.35	6.78	11.03	11.64	12.98	.	NA													
AGO1_peak_171	Chr1	20441177	20441835	-5.5	7.95	4.62	18.75	17.12	14.26	At1g54790	At1g54790	10.53	7.17	-0.55	0.94	2.54	0.45	8.57	6.48	15.41	9.61	11.35	6.89	0.09
AGO1_peak_172	Chr1	20450875	20451096	-3.1	8.27	6.57	13.69	7.8	10.97	At1g54820_downstream_1k;At1g54830_promoter_1k	At1g54820	31.17	16.08	-0.95	0.03	7.00	0.61	11.48	7.80	13.70	8.01	14.52	8.79	3.54
											At1g54830	22.51	26.46	0.23	0.79	1.33	1.03	11.13	10.39	11.20	10.54	12.30	12.80	0.88
AGO1_peak_173	Chr1	20574136	20574733	-4.07	2.09	7.86	12.72	14.08	14.31	At1g55140_promoter_1k;At1g55150_promoter_1k	At1g55140	42.46	47.37	0.16	0.88	0.73	0.53	7.84	7.47	9.85	8.55	9.20	7.53	0.29
											At1g55150	12.67	10.63	-0.25	0.77	0.97	0.73	8.37	8.50	10.48	10.35	9.46	9.96	0.59
AGO1_peak_174	Chr1	20651337	20651787	-5.69	3.89	5.22	15.29	12.93	14.53	At1g55340_promoter_1k	At1g55340	28.09	28.72	0.03	0.98	3.64	2.07	11.79	8.58	20.60	18.59	19.16	16.16	1.69
AGO1_peak_175	Chr1	20653497	20653921	-3.87	3.71	3.98	10.91	14.49	11.19	At1g55340_downstream_1k;At1g55350_downstream_1k	At1g55340	28.09	28.72	0.03	0.98	3.64	2.07	11.79	8.58	20.60	18.59	19.16	16.16	1.69
											At1g55350	16.57	16.41	-0.01	0.99	3.84	2.43	6.85	7.01	13.33	12.51	9.34	9.19	1.66
AGO1_peak_176	Chr1	20670466	20670741	-4.6	7.4	7.86	14.67	10.78	9.2	.	NA													
AGO1_peak_177	Chr1	20817834	20818340	0.06	3.85	5.51	13.13	10.12	10.63	.	NA													
AGO1_peak_178	Chr1	20860251	20860754	-1.02	0.84	6.28	10.14	6.32	7.97	At1g55810_promoter_1k	At1g55810	20.62	27.62	0.42	0.50	4.75	1.90	9.07	7.89	16.02	12.57	17.43	13.73	0.99
AGO1_peak_179	Chr1	21043025	21045070	-1.64	12.33	18.55	22.3	22.03	24.49	At1g56220	At1g56220	477.65	371.82	-0.36	0.57	38.51	7.80	118.08	66.26	63.67	51.43	80.56	63.97	22.64
AGO1_peak_180	Chr1	21080151	21080359	-6.4	2.75	7.91	12.55	11.92	10.65	At1g56300	At1g56300	84.04	84.14	0.00	1.00	4.75	1.79	24.73	27.23	18.74	27.32	21.83	35.53	2.26
AGO1_peak_181	Chr1	21167330	21167673	-2.59	6.81	0.07	14.87	15.71	14.14	At1g56500_downstream_1k;At1g56510_promoter_1k	At1g56500	38.64	25.44	-0.60	0.22	1.90	0.71	6.38	7.28	9.99	7.65	7.93	6.38	0.44
											At1g56510	10.05	11.35	0.18	0.86	3.23	1.35	12.58	21.55	16.02	33.02	16.80	32.66	3.55
AGO1_peak_182	Chr1	21341787	21342041	-6.05	3.67	10.54	13.08	10.4	9.55	At1g57620_promoter_1k	At1g57620	20.06	18.76	-0.10	0.94	2.87	1.65	7.59	7.90	9.43	11.29	8.60	11.10	0.27
AGO1_peak_183	Chr1	21425626	21425880	-4.17	2.33	6.39	12.38	13.58	8.72	At1g57850	At1g57850	0.38	0.00	NA	1.00	0.09	0.01	7.97	9.76	7.45	7.39	6.77	6.34	0.15
AGO1_peak_184	Chr1	21717214	21717545	-0.93	7.55	9.4	12.72	10.42	11.47	At1g58440_promoter_1k;At1g58450_promoter_1k	At1g58440	24.41	16.26	-0.59	0.25	2.64	2.03	8.35	9.15	12.15	13.11	10.66	11.30	0.08
											At1g58450	0.00	0.00	0.00	1.00	0.00	0.00	5.15	4.70	4.37	4.63	4.71	4.23	0.00
AGO1_peak_185	Chr1	22095581	22095755	4.48	10.5	13.87	18.41	11.46	20	At1g60010	At1g60010	50.20	53.87	0.10	0.93	6.17	2.65	45.97	32.80	32.14	28.36	51.35	43.42	2.29
AGO1_peak_186	Chr1	22095900	22096751	-0.57	0.31	12.35	16.31	12.73	15.61	At1g60010	At1g60010	50.20	53.87	0.10	0.93	6.17	2.65	45.97	32.80	32.14	28.36	51.35	43.42	2.29
AGO1_peak_187	Chr1	22318197	22318726	-5.16	7.05	4.36	11.66	9.07	7.18	.	NA													
AGO1_peak_188	Chr1	22324291	22324815	-15.3	4.74	5.21	15.96	13.68	18.31	At1g60600_downstream_1k	At1g60600	28.49	26.94	-0.08	0.94	1.50	0.77	8.94	8.17	12.54	10.11	11.89	8.49	0.41
AGO1_peak_189	Chr1	22444178	22446141	-0.66	10.73	5.11	19.55	17.29	17.94	At1g60950	At1g60950	2143.22	1529.82	-0.49	0.46	219.71	28.37	95.57	67.47	54.90	33.98	78.07	52.35	8.70
AGO1_peak_190	Chr1	23126476	23126802	3.75	4.01	10.49	8.73	5.45	11.32	.	NA													
AGO1_peak_191	Chr1	23128687	23129628	-1.67	12.11	9.95	11.35	10.36	13	At1g62480	At1g62480	227.33	124.64	-0.87	0.04	22.98	7.76	73.77	13.27	42.98	18.30	69.74	28.60	5.02
AGO1_peak_192	Chr1	23133190	23133676	-3.59	5.87	9.5	8.54	6.65	10.41	At1g62500;At1g62500_downstream_1k	At1g62500	30.87	15.16	-1.03	0.01	6.84	2.75	18.94	9.57	12.90	6.93	20.78	8.38	0.19
AGO1_peak_193	Chr1	23134117	23134341	0.76	7.88	15.18	6.88	6.74	6.59	At1g62500_downstream_1k	At1g62500	30.87	15.16	-1.03	0.01	6.84	2.75	18.94	9.57	12.90	6.93	20.78	8.38	0.19
AGO1_peak_194	Chr1	23544201	23544551	-1.37	10.11	3.98	11.52	10.78	9.34	At1g63490_downstream_1k	At1g63490	5.01	4.61	-0.12	0.92	0.97	0.78	5.56	5.83	7.04	6.87	4.94	5.04	0.26
AGO1_peak_195	Chr1	23595941	23596183	-8.18	1.51	10.87	12.75	10.02	16.99	At1g63640_promoter_1k	At1g63640	9.33	8.58	-0.12	0.91	0.60	0.42	5.10	5.54	6.28	5.51	5.19	4.49	0.49
AGO1_peak_196	Chr1	23807434	23807856	1.12	1	3.35	10.54	8.68	7.75	At1g64140_promoter_1k;At1g64142_promoter_1k	At1g64140	25.73	34.24	0.41	0.47	3.24	3.41	13.24	16.58	19.22	22.40	21.29	25.47	1.16
											NA													
AGO1_peak_197	Chr1	24046429	24046669	1.84	14.31	3.9	16.06	18.19	18.89	At1g64710	At1g64710	40.81	19.41	-1.07	0.01	5.66	0.81	33.81	17.61	21.06	14.31	28.09	16.30	0.42
AGO1_peak_198	Chr1	24057457	24057806	-1.18	5.45	4.84	14.45	11.43	10.88	At1g64770	At1g64770	81.69	78.22	-0.06	0.96	3.36	0.82	12.06	7.54	13.51	7.57	19.59	9.39	2.68
AGO1_peak_199	Chr1	24385910	24386328	1.62	4.26	4.9	14.47	12.76	17.66	At1g65590	At1g65590	22.19	9.07	-1.29	0.00	3.28	0.82	8.23	6.56	11.27	8.10	11.67	7.87	0.52
AGO1_peak_200	Chr1	24387417	24387606	-2.18	4.77	11.08	9.1	6.27	11.16	At1g65590	At1g65590	22.19	9.07	-1.29	0.00	3.28	0.82	8.23	6.56	11.27	8.10	11.67	7.87	0.52
AGO1_peak_201	Chr1	24542240	24542482	-5.5	5.6	0.73	13.73	12.25	12.2	At1g65930_downstream_1k	At1g65930	280.98	367.29	0.39	0.56	86.98	26.74	26.50	17.82	42.80	31.97	61.94	43.13	3.26
AGO1_peak_202	Chr1	24677060	24677492	0.31	7.94	4.97	16.2	10.98	17.82	At1g66230	At1g66230	6.17	4.26	-0.54	0.55	0.89	0.18	20.52	9.00	12.11	8.73	13.54	7.76	1.55
AGO1_peak_203	Chr1	24936340	24936651	-4.28	1.45	4.74	14.69	11.61	13.22	At1g66840_promoter_1k;At1g66850_promoter_1k	At1g66840	5.17	8.19	0.66	0.25	0.88	0.39	8.06	8.04	10.12	7.33	12.53	6.81	6.33
											At1g66850	0.00	0.00	0.00	1.00	0.00	0.00	6.83	7.72	5.52	5.46	4.94	5.18	0.00
AGO1_peak_204	Chr1	25047302	25050271	-3.19	17.37	2.47	26.81	17.57	21.03	At1g67080_promoter_1k;At1g67090_downstream_1k;At1g67090;At1g67090_promoter_1k	At1g67080	29.93	27.32	-0.13	0.90	1.85	0.61	11.33	7.79	11.29	8.33	14.51	9.38	0.85
											At1g67090	23231.70	17432.00	-0.41	0.77	371.29	93.07	125.81	104.96	70.24	43.78	87.86	68.83	98.97
AGO1_peak_205	Chr1	25135190	25135537	0.68	7.41	11.67	14.53	9.16	10.03	At1g67190_downstream_1k	At1g67190	5.41	4.28	-0.34	0.75	1.73	0.91	11.49	11.16	13.39	14.66	15.14	15.26	0.86
AGO1_peak_206	Chr1	25495885	25496041	-3.07	19.36	13.6	17.87	17.27	12.17	At1g68010	At1g68010	482.47	343.29	-0.49	0.41	12.72	1.86	17.71	11.37	31.13	12.62	44.95	13.14	9.98
AGO1_peak_207	Chr1	25649358	25649548	-4.49	3.12	10.85	17.79	12.48	13.32	At1g68400_promoter_1k;At1g68410_downstream_1k	At1g68400	17.12	6.79	-1.34	0.00	3.21	1.22	11.59	9.09	11.43	7.98	13.82	8.48	0.57
											At1g68410	16.19	14.67	-0.14	0.89	2.91	2.62	10.78	14.41	11.96	17.89	16.86	23.66	0.55
AGO1_peak_208	Chr1	25706315	25706695	-4.49	5.22	7.63	10.15	8.79	8.88	At1g68510_promoter_1k	At1g68510	0.09	0.00	NA	1.00	0.13	0.17	12.14	7.13	8.90	7.10	8.81	6.01	0.00
AGO1_peak_209	Chr1	25708193	25711046	-0.68	12.11	12.19	16.88	16.75	18.41	At1g68510_downstream_1k;At1g68520_downstream_1k;At1g68520	At1g68510	0.09	0.00	NA	1.00	0.13	0.17	12.14	7.13	8.90	7.10	8.81	6.01	0.00
											At1g68520	87.98	66.66	-0.40	0.49	10.55	6.91	79.45	44.22	58.46	40.21	80.15	63.40	7.30
AGO1_peak_210	Chr1	25741433	25741638	-3.84	3.19	0.88	11.57	8.67	17.49	.	NA													
AGO1_peak_211	Chr1	25756723	25757461	-2.78	7.39	5.16	18.32	17.96	19.43	At1g68585;At1g68590	At1g68585	4.25	6.02	0.50	0.97	4.61	1.77	42.92	27.91	33.78	24.86	41.59	28.83	3.47
											At1g68590	600.88	636.82	0.08	0.94	18.03	4.43	48.41	33.97	36.06	25.96	52.49	35.89	8.07
AGO1_peak_212	Chr1	25757572	25758344	-4.96	2.28	10.19	19.52	18.29	19.67	At1g68590	At1g68590	600.88	636.82	0.08	0.94	18.03	4.43	48.41	33.97	36.06	25.96	52.49	35.89	8.07
AGO1_peak_213	Chr1	25880006	25881946	-0.89	11.64	9.92	21.1	26.75	24.35	At1g68840	At1g68840	95.55	31.41	-1.60	0.00	14.60	3.38	128.29	110.70	64.87	60.84	81.90	80.36	20.53
AGO1_peak_214	Chr1	25949925	25950355	-4.84	7.71	4.49	12.28	9.4	10.54	At1g69030_promoter_1k	At1g69030	17.43	14.91	-0.22	0.82	2.18	1.29	10.73	9.98	11.86	14.01	14.06	14.17	0.56
AGO1_peak_215	Chr1	25988782	25989037	-3.09	7.01	6.06	13.72	9.09	14.47	.	NA													
AGO1_peak_216	Chr1	25996554	25996960	-5.38	4.36	10.92	13.88	13.14	15.06	.	NA													
AGO1_peak_217	Chr1	25997532	25997865	2.34	5.65	8.02	15.32	11.65	13.3	.	NA													
AGO1_peak_218	Chr1	26126297	26126474	NA	4.1	5.96	14.07	10.66	11.92	At1g69510	At1g69510	92.57	104.99	0.18	0.84	4.56	3.07	10.34	9.14	12.38	13.28	12.26	13.74	0.86
AGO1_peak_219	Chr1	26141404	26141662	-0.14	4.25	7.27	9.2	9.19	9.81	At1g69530_promoter_1k	At1g69530	290.55	77.84	-1.90	0.00	39.39	6.66	108.11	48.85	42.69	20.35	71.35	32.49	3.18
AGO1_peak_220	Chr1	26141800	26143401	0.78	13.78	9.62	16.56	17.13	15.08	At1g69530_promoter_1k;At1g69530	At1g69530	290.55	77.84	-1.90	0.00	39.39	6.66	108.11	48.85	42.69	20.35	71.35	32.49	3.18
AGO1_peak_221	Chr1	26164343	26164877	-1.42	6.45	12.72	12.11	13.93	14.61	.	NA													
AGO1_peak_222	Chr1	26207891	26208270	-1.36	5.1	3.42	9.39	8.25	11.13	.	NA													
AGO1_peak_223	Chr1	26244134	26244505	1.37	1.52	5.23	11.83	7.99	11.37	.	NA													
AGO1_peak_224	Chr1	26434892	26435200	-3.44	6.37	7.16	10.98	8.05	12.67	At1g70200_promoter_1k	At1g70200	37.72	41.39	0.13	0.90	5.15	1.63	10.82	9.14	13.72	12.25	15.89	11.46	0.26
AGO1_peak_225	Chr1	26442067	26442975	0.59	7.3	9.77	14.44	10.21	12.31	At1g70210	At1g70210	15.02	8.08	-0.90	0.06	3.55	0.77	23.01	13.29	16.56	12.17	21.99	12.48	2.82
AGO1_peak_226	Chr1	26449634	26449886	-9.08	6.12	2.27	14.59	8.34	9.62	At1g70230_promoter_1k	At1g70230	11.21	8.24	-0.44	0.52	4.81	1.53	26.56	16.12	17.20	13.18	23.08	15.49	5.57
AGO1_peak_227	Chr1	26470712	26471727	-6.09	5.88	7.37	15.49	20.6	16.83	At1g70290	At1g70290	66.01	41.11	-0.68	0.15	7.53	2.48	34.19	13.69	37.58	34.30	43.04	36.43	2.40
AGO1_peak_228	Chr1	26472419	26472984	-0.79	8.68	4.85	14.17	23.65	17.92	At1g70290	At1g70290	66.01	41.11	-0.68	0.15	7.53	2.48	34.19	13.69	37.58	34.30	43.04	36.43	2.40
AGO1_peak_229	Chr1	26743026	26744452	-3.14	2.12	10.44	14.02	13.53	15.38	At1g70940	At1g70940	73.33	26.41	-1.47	0.00	18.51	7.87	50.61	22.83	23.64	20.06	35.48	29.01	4.67
AGO1_peak_230	Chr1	26745126	26745305	-7.44	6.99	11.66	19.55	12.04	12.96	At1g70940	At1g70940	73.33	26.41	-1.47	0.00	18.51	7.87	50.61	22.83	23.64	20.06	35.48	29.01	4.67
AGO1_peak_231	Chr1	26745378	26745570	-6.4	9.25	13.01	12.67	12.63	14.83	At1g70940	At1g70940	73.33	26.41	-1.47	0.00	18.51	7.87	50.61	22.83	23.64	20.06	35.48	29.01	4.67
