Geneid	WT_AGO1-1	WT_AGO1-2	deltaN-1	deltaN-2
gene:AT1G07303	0	0	0	0
gene:AT1G45234	0	2	1	2
gene:AT1G45238	0	0	1	0
gene:AT1G45240	1	0	0	2
gene:AT1G07313	5	8	7	3
gene:AT1G45242	0	0	0	0
gene:AT1G45244	0	0	0	0
gene:AT1G45246	0	0	0	0
gene:AT1G46554	146	185	127	133
gene:AT1G07317	0	0	0	0
gene:AT1G07323	140	163	205	210
gene:AT1G07327	0	0	0	0
gene:AT1G07333	0	0	0	0
gene:AT1G07337	0	0	0	0
gene:AT1G07343	0	0	0	0
gene:AT1G07347	0	0	0	0
gene:AT1G07353	0	0	0	0
gene:AT1G07357	0	0	0	0
gene:AT1G07367	0	2	0	0
gene:AT1G07373	2	6	2	2
gene:AT1G07383	0	0	0	0
gene:AT1G07393	0	0	0	0
gene:AT1G07397	0	0	0	2
gene:AT1G07407	0	3	5	4
gene:AT1G07413	0	0	0	0
gene:AT1G07417	0	1	0	0
gene:AT1G07423	0	0	0	1
gene:AT1G07433	0	0	0	0
gene:AT1G07437	0	0	0	0
gene:AT1G07447	0	0	0	0
gene:AT1G07453	0	0	0	0
gene:AT1G07457	0	0	0	0
gene:AT1G07463	0	0	0	0
gene:AT1G48080	0	0	0	0
gene:AT1G07467	0	0	0	0
gene:AT1G07477	21	25	13	21
gene:AT1G48267	6	2	0	0
gene:AT1G07483	0	0	0	0
gene:AT1G48315	342	324	277	162
gene:AT1G07487	0	0	0	0
gene:AT1G07493	0	0	0	0
gene:AT1G07497	0	0	0	0
gene:AT1G48698	6	9	7	14
gene:AT1G48742	0	0	1	0
gene:AT1G07503	0	0	0	0
gene:AT1G07507	0	0	0	0
gene:AT1G07513	17	33	18	26
gene:AT1G07517	12	19	18	31
gene:AT1G07523	0	0	0	0
gene:AT1G07527	0	0	0	0
gene:AT1G49020	0	0	0	0
gene:AT1G07533	0	0	0	0
gene:AT1G07537	0	0	0	0
gene:AT1G49280	0	0	0	0
gene:AT1G07543	0	4	5	1
gene:AT1G07547	20	31	16	32
gene:AT1G07553	0	0	0	0
gene:AT1G07557	0	0	0	0
gene:AT1G49460	0	0	0	0
gene:AT1G07563	23	24	25	16
gene:AT1G07567	71	59	55	53
gene:AT1G07573	0	0	0	0
gene:AT1G49690	0	0	0	0
gene:AT1G07583	0	0	0	0
gene:AT1G07587	23	29	14	26
gene:AT1G07593	0	0	0	0
gene:AT1G07597	0	0	0	0
gene:AT1G49832	12	20	16	21
gene:AT1G49938	3	5	2	8
gene:AT1G49952	6	2	2	10
gene:AT1G07603	175	215	250	252
gene:AT1G07607	397	407	366	375
gene:AT1G50055	94	71	79	96
gene:AT1G07613	0	0	0	0
gene:AT1G50070	0	0	0	0
gene:AT1G50100	0	0	0	0
gene:AT1G07617	0	0	0	0
gene:AT1G07623	0	0	0	0
gene:AT1G07627	0	0	0	0
gene:AT1G07633	0	0	0	1
gene:AT1G07637	13	14	14	19
gene:AT1G07647	29	22	20	38
gene:AT1G07653	20	39	32	22
gene:AT1G07657	0	0	0	0
gene:AT1G50659	191	212	173	233
gene:AT1G07663	32	33	22	59
gene:AT1G07667	36	62	40	56
gene:AT1G07673	0	0	0	0
gene:AT1G07683	0	1	2	2
gene:AT1G07693	170	166	178	217
gene:AT1G07697	5	12	5	9
gene:AT1G07703	15	25	11	10
gene:AT1G07707	2	0	2	0
gene:AT1G07717	0	0	0	1
gene:AT1G07723	0	0	0	0
gene:AT1G07727	0	0	0	0
gene:AT1G07733	35	40	61	43
gene:AT1G07737	1627	1802	1896	1989
gene:AT1G07743	68	66	47	43
gene:AT1G07753	104	134	140	153
gene:AT1G07757	10	9	4	6
gene:AT1G51645	85	109	90	136
gene:AT1G07763	0	0	0	0
gene:AT1G07767	0	0	0	0
gene:AT1G07773	0	0	0	0
gene:AT1G07777	0	0	0	0
gene:AT1G07783	0	2	0	0
gene:AT1G52170	0	0	0	0
gene:AT1G07787	0	0	0	0
gene:AT1G52185	0	0	0	0
gene:AT1G07793	0	0	0	0
gene:AT1G07803	72	88	73	96
gene:AT1G52347	111	92	106	111
gene:AT1G52350	0	0	0	0
gene:AT1G07807	65	89	102	95
gene:AT1G07813	6	2	10	0
gene:AT1G07823	11	9	15	7
gene:AT1G07827	0	0	0	0
gene:AT1G07833	0	0	0	1
gene:AT1G52615	0	2	0	3
gene:AT1G07837	0	0	0	0
gene:AT1G52860	0	0	0	0
gene:AT1G07843	0	0	0	0
gene:AT1G07847	17	29	23	29
gene:AT1G07853	23	9	13	5
gene:AT1G07857	0	0	0	0
gene:AT1G07863	0	0	0	0
gene:AT1G07867	51	43	51	66
gene:AT1G07873	0	0	0	0
gene:AT1G53220	0	0	0	0
gene:AT1G53233	1176	1549	1141	1962
gene:AT1G07877	77	90	94	79
gene:AT1G53410	14	8	11	18
gene:AT1G07883	4	2	3	9
gene:AT1G07887	1	4	2	46
gene:AT1G07893	448	554	408	663
gene:AT1G07897	37	32	26	23
gene:AT1G07903	14	21	18	11
gene:AT1G07907	0	0	0	0
gene:AT1G07913	0	0	2	2
gene:AT1G07917	0	0	0	0
gene:AT1G07923	0	0	0	0
gene:AT1G07927	0	0	0	0
gene:AT1G53683	0	0	0	0
gene:AT1G53687	0	0	0	0
gene:AT1G07933	8	2	8	7
gene:AT1G53801	571	629	524	583
gene:AT1G07937	2	10	2	15
gene:AT1G07943	10	28	16	31
gene:AT1G07947	0	0	0	0
gene:AT1G07957	1	0	1	0
gene:AT1G07963	26	21	34	42
gene:AT1G54355	731	912	695	852
gene:AT1G07967	9	9	7	14
gene:AT1G07973	0	0	0	0
gene:AT1G07977	0	0	0	0
gene:AT1G54670	0	0	0	0
gene:AT1G07983	161	204	158	189
gene:AT1G07987	25	54	37	38
gene:AT1G07993	279	325	255	288
gene:AT1G07997	0	0	2	0
gene:AT1G08003	100	82	72	104
gene:AT1G08007	0	0	0	0
gene:AT1G08013	0	0	0	0
gene:AT1G08017	0	0	0	0
gene:AT1G08023	0	0	0	0
gene:AT1G08027	0	0	0	0
gene:AT1G08033	2	1	0	2
gene:AT1G08037	190	197	265	191
gene:AT1G08043	139	170	143	178
gene:AT1G08047	10	11	4	7
gene:AT1G08053	0	0	0	0
gene:AT1G55525	2	0	3	2
gene:AT1G08057	0	0	0	0
gene:AT1G55591	0	0	0	0
gene:AT1G55625	0	0	0	0
gene:AT1G08063	0	0	0	0
gene:AT1G08073	163	227	200	231
gene:AT1G08077	0	0	0	0
gene:AT1G08087	6	7	5	11
gene:AT1G56165	22	23	9	12
gene:AT1G08093	0	0	0	0
gene:AT1G08097	0	0	0	0
gene:AT1G08103	4	1	1	0
gene:AT1G08107	0	0	0	0
gene:AT1G08113	0	0	0	0
gene:AT1G08117	0	0	0	0
gene:AT1G08123	0	0	0	0
gene:AT1G56242	22	33	34	11
gene:AT1G08127	0	0	0	0
gene:AT1G56612	201	213	215	234
gene:AT1G08133	0	0	0	0
gene:AT1G08137	0	0	0	0
gene:AT1G08143	0	0	0	0
gene:AT1G08147	2	0	0	0
gene:AT1G56730	0	0	0	0
gene:AT1G56740	0	0	0	0
gene:AT1G56750	0	0	0	0
gene:AT1G56760	0	0	0	0
gene:AT1G56770	0	0	0	0
gene:AT1G56780	0	0	0	0
gene:AT1G56790	0	0	0	0
gene:AT1G56800	0	0	0	0
gene:AT1G56810	0	0	0	0
gene:AT1G56820	0	0	0	0
gene:AT1G56830	1	0	0	0
gene:AT1G56840	0	0	0	0
gene:AT1G56850	0	0	0	0
gene:AT1G56860	0	0	0	0
gene:AT1G56870	0	0	0	0
gene:AT1G56880	0	0	0	0
gene:AT1G56890	0	0	0	0
gene:AT1G56900	0	0	0	0
gene:AT1G56910	0	0	0	0
gene:AT1G56920	0	0	0	0
gene:AT1G56930	0	0	0	0
gene:AT1G56940	0	0	0	0
gene:AT1G56950	0	0	0	0
gene:AT1G56960	0	0	0	0
gene:AT1G56970	0	0	0	0
gene:AT1G56980	0	0	0	0
gene:AT1G56990	0	0	0	0
gene:AT1G57000	0	0	0	0
gene:AT1G57010	0	0	0	0
gene:AT1G57020	0	0	0	0
gene:AT1G57030	0	0	0	0
gene:AT1G57040	0	0	0	0
gene:AT1G57050	0	0	0	0
gene:AT1G57060	0	0	0	0
gene:AT1G57070	0	0	0	0
gene:AT1G57080	0	0	0	0
gene:AT1G57090	0	0	0	0
gene:AT1G57100	0	0	0	0
gene:AT1G57110	0	0	0	0
gene:AT1G57120	0	0	0	0
gene:AT1G57130	0	0	0	0
gene:AT1G57140	0	0	0	0
gene:AT1G57150	0	0	0	0
gene:AT1G57160	0	0	0	0
gene:AT1G57170	0	0	0	0
gene:AT1G57180	0	0	0	0
gene:AT1G57190	0	0	0	0
gene:AT1G57200	0	0	0	0
gene:AT1G57210	0	0	0	0
gene:AT1G57220	0	0	0	0
gene:AT1G57230	0	0	0	0
gene:AT1G57240	0	0	0	0
gene:AT1G57250	0	0	0	0
gene:AT1G57260	0	0	0	0
gene:AT1G57270	0	0	0	0
gene:AT1G57280	0	0	0	0
gene:AT1G57290	0	0	0	0
gene:AT1G57300	0	0	0	0
gene:AT1G57310	0	0	0	0
gene:AT1G57320	0	0	0	0
gene:AT1G57330	0	0	0	0
gene:AT1G57340	0	0	0	0
gene:AT1G57350	0	0	2	0
gene:AT1G57360	0	0	0	0
gene:AT1G57370	0	0	0	0
gene:AT1G57380	0	0	0	0
gene:AT1G57390	0	0	0	0
gene:AT1G57400	0	0	0	0
gene:AT1G57410	0	0	0	0
gene:AT1G57420	0	0	0	0
gene:AT1G57430	0	0	0	0
gene:AT1G57440	0	0	0	0
gene:AT1G57450	0	0	0	0
gene:AT1G57460	0	0	0	0
gene:AT1G57470	0	0	0	0
gene:AT1G57480	0	0	0	0
gene:AT1G57490	0	0	0	0
gene:AT1G57500	0	0	0	0
gene:AT1G57510	0	0	0	0
gene:AT1G57520	0	0	0	0
gene:AT1G57530	0	0	0	0
gene:AT1G08153	0	0	0	0
gene:AT1G08157	0	0	0	0
gene:AT1G08163	0	0	0	0
gene:AT1G08173	3	7	0	0
gene:AT1G08177	0	0	0	0
gene:AT1G08183	0	0	0	0
gene:AT1G57835	0	0	0	0
gene:AT1G08193	0	0	0	0
gene:AT1G08207	0	0	0	1
gene:AT1G08213	0	1	5	4
gene:AT1G08217	0	0	0	0
gene:AT1G08223	0	0	0	0
gene:AT1G08227	0	0	0	0
gene:AT1G08237	0	0	1	0
gene:AT1G08247	0	0	0	0
gene:AT1G58590	79	67	57	114
gene:AT1G58808	0	0	0	0
gene:AT1G08253	0	0	0	0
gene:AT1G59570	0	0	0	0
gene:AT1G08257	0	0	1	0
gene:AT1G08263	0	0	0	0
gene:AT1G08267	10	20	17	15
gene:AT1G08273	24	11	11	20
gene:AT1G59880	0	0	0	0
gene:AT1G08277	0	0	0	0
gene:AT1G08283	19	21	14	19
gene:AT1G08287	0	6	0	9
gene:AT1G08293	6	4	2	2
gene:AT1G60025	0	0	0	0
gene:AT1G08297	0	0	0	0
gene:AT1G60072	0	0	0	0
gene:AT1G60073	0	0	0	0
gene:AT1G08303	0	0	0	0
gene:AT1G08307	0	0	0	1
gene:AT1G08313	0	0	0	0
gene:AT1G08317	180	245	221	221
gene:AT1G08323	6	2	6	3
gene:AT1G60505	202	206	162	229
gene:AT1G60525	116	159	155	215
gene:AT1G60545	118	166	125	188
gene:AT1G08327	0	0	1	0
gene:AT1G60580	0	0	1	0
gene:AT1G08333	3	2	7	6
gene:AT1G08337	0	0	0	0
gene:AT1G08343	0	0	0	0
gene:AT1G08347	0	0	0	0
gene:AT1G60820	0	0	0	0
gene:AT1G60840	0	0	0	0
gene:AT1G60910	0	0	0	0
gene:AT1G08353	0	0	0	0
gene:AT1G61020	0	0	0	0
gene:AT1G08357	0	0	0	0
gene:AT1G61224	0	2	0	0
gene:AT1G61226	0	2	0	0
gene:AT1G08363	0	0	0	0
gene:AT1G61275	19	5	16	7
gene:AT1G08367	0	0	0	0
gene:AT1G08377	0	0	0	0
gene:AT1G08383	0	0	0	0
gene:AT1G08387	42	43	51	34
gene:AT1G08393	8	4	4	6
gene:AT1G08397	0	0	0	0
gene:AT1G08403	0	0	0	0
gene:AT1G08413	2	0	0	1
gene:AT1G08417	0	0	0	0
gene:AT1G08427	27	22	39	39
gene:AT1G61732	0	0	0	0
gene:AT1G08433	0	0	0	0
gene:AT1G08437	0	0	0	0
gene:AT1G61880	0	0	0	0
gene:AT1G08443	0	0	0	2
gene:AT1G61910	0	0	0	0
gene:AT1G08447	0	0	0	0
gene:AT1G08453	0	0	0	0
gene:AT1G62035	2	1	7	1
gene:AT1G08457	0	0	0	0
gene:AT1G08463	0	0	0	0
gene:AT1G08473	0	0	0	0
gene:AT1G08477	2006	2317	1399	1356
gene:AT1G08483	0	0	0	0
gene:AT1G08487	0	0	0	0
gene:AT1G08493	0	0	0	0
gene:AT1G08497	0	0	0	0
gene:AT1G08503	0	0	0	0
gene:AT1G08507	24	29	30	19
gene:AT1G08513	64	39	82	48
gene:AT1G62355	4	8	2	7
gene:AT1G08517	0	0	0	0
gene:AT1G08523	0	0	0	0
gene:AT1G08533	3	4	0	4
gene:AT1G08537	16	27	34	22
gene:AT1G08543	107	177	166	169
gene:AT1G08547	27	33	40	54
gene:AT1G08553	0	0	1	0
gene:AT1G08557	6	7	3	5
gene:AT1G08563	0	1	1	3
gene:AT1G08567	8	9	4	8
gene:AT1G08573	0	0	0	1
gene:AT1G08577	0	0	0	2
gene:AT1G08583	0	2	2	0
gene:AT1G63005	0	0	0	0
gene:AT1G08587	0	0	0	0
gene:AT1G08597	55	68	91	115
gene:AT1G08603	0	0	0	0
gene:AT1G08607	1	2	1	3
gene:AT1G08613	0	0	0	0
gene:AT1G63510	1	0	1	0
gene:AT1G08623	0	0	0	0
gene:AT1G08627	0	0	0	0
gene:AT1G08633	146	206	164	207
gene:AT1G63790	0	0	0	0
gene:AT1G08637	0	0	0	0
gene:AT1G08643	5	4	7	7
gene:AT1G08647	55	60	52	81
gene:AT1G64120	0	0	0	0
gene:AT1G08653	0	0	0	0
gene:AT1G08657	481	453	499	577
gene:AT1G08663	2	6	2	3
gene:AT1G08667	65	57	49	85
gene:AT1G08673	0	0	0	0
gene:AT1G64420	0	0	0	0
gene:AT1G08683	0	0	0	0
gene:AT1G08677	0	0	0	0
gene:AT1G08697	7	4	11	14
gene:AT1G08703	0	0	2	0
gene:AT1G08707	11	22	23	25
gene:AT1G64563	33	47	44	49
gene:AT1G08713	0	0	0	0
gene:AT1G64572	64	114	55	83
gene:AT1G64618	5	2	0	0
gene:AT1G08717	0	0	0	0
gene:AT1G08723	42	38	46	49
gene:AT1G08727	149	156	161	187
gene:AT1G08733	17	18	13	13
gene:AT1G08737	3	2	2	2
gene:AT1G08743	0	1	0	0
gene:AT1G08747	906	1140	947	1051
gene:AT1G08753	81	113	77	116
gene:AT1G08757	2	2	0	0
gene:AT1G08763	0	0	0	0
gene:AT1G08767	0	0	0	0
gene:AT1G08773	0	0	0	0
gene:AT1G08777	0	0	0	0
gene:AT1G65830	0	0	0	0
gene:AT1G08783	0	0	0	0
gene:AT1G08787	0	0	0	0
gene:AT1G08793	0	1	1	1
gene:AT1G08797	284	328	329	377
gene:AT1G08803	75	95	157	125
gene:AT1G08807	0	0	0	0
gene:AT1G08813	2	1	0	1
gene:AT1G66173	18	14	9	29
gene:AT1G08817	0	0	0	0
gene:AT1G08823	0	0	0	0
gene:AT1G08827	0	0	0	0
gene:AT1G08833	0	0	0	0
gene:AT1G08843	0	0	0	0
gene:AT1G66725	33	36	17	13
gene:AT1G08847	27	24	16	21
gene:AT1G66783	0	0	0	1
gene:AT1G66795	0	0	0	0
gene:AT1G08853	0	0	0	2
gene:AT1G08857	111	180	120	153
gene:AT1G08863	0	1	0	0
gene:AT1G08867	0	0	0	0
gene:AT1G08877	0	0	1	1
gene:AT1G08883	0	0	0	1
gene:AT1G08887	0	0	0	0
gene:AT1G08893	0	0	0	0
gene:AT1G08897	0	0	0	0
gene:AT1G67105	64	54	88	60
gene:AT1G08903	17	13	8	24
gene:AT1G67195	125	166	138	109
gene:AT1G08907	0	0	0	0
gene:AT1G08913	0	0	0	0
gene:AT1G67238	0	0	0	0
gene:AT1G08923	0	0	0	0
gene:AT1G67328	268	415	266	302
gene:AT1G08927	0	0	0	0
gene:AT1G08933	0	0	0	0
gene:AT1G67365	40	56	71	61
gene:AT1G08937	4	2	0	5
gene:AT1G67481	0	0	0	0
gene:AT1G08947	0	4	0	0
gene:AT1G08953	0	1	0	3
gene:AT1G67792	204	210	157	243
gene:AT1G08963	5	11	13	11
gene:AT1G08967	0	0	0	0
gene:AT1G08973	48	62	27	49
gene:AT1G08977	0	0	1	0
gene:AT1G08983	0	0	0	0
gene:AT1G08987	1	0	0	0
gene:AT1G08993	0	0	0	0
gene:AT1G68568	198	191	140	98
gene:AT1G08997	0	0	0	0
gene:AT1G09003	4	4	13	0
gene:AT1G09007	0	0	0	0
gene:AT1G68770	14	11	12	18
gene:AT1G09013	0	0	0	2
gene:AT1G68860	0	0	0	0
gene:AT1G68872	86	84	69	103
gene:AT1G09017	0	0	0	1
gene:AT1G09023	193	250	226	266
gene:AT1G09027	75	69	59	89
gene:AT1G68950	0	0	0	0
gene:AT1G68970	0	0	0	0
gene:AT1G69000	0	0	0	0
gene:AT1G09033	0	0	0	0
gene:AT1G09037	0	0	0	0
gene:AT1G69130	0	0	0	0
gene:AT1G09043	0	0	0	0
gene:AT1G09047	0	0	0	0
gene:AT1G69252	805	793	770	946
gene:AT1G09053	364	399	307	304
gene:AT1G69300	0	0	1	0
gene:AT1G09057	0	0	0	0
gene:AT1G09063	0	0	0	0
gene:AT1G09067	19	10	4	11
gene:AT1G69572	116	144	119	146
gene:AT1G69587	92	79	81	119
gene:AT1G09073	0	0	0	0
gene:AT1G09077	0	0	0	0
gene:AT1G09083	16	9	9	13
gene:AT1G09087	10	6	5	4
gene:AT1G09097	0	0	0	0
gene:AT1G09103	1	0	1	0
gene:AT1G69792	0	0	0	0
gene:AT1G09107	0	0	0	0
gene:AT1G09113	0	0	0	0
gene:AT1G69795	0	1	0	0
gene:AT1G69797	0	0	0	0
gene:AT1G09117	0	0	0	0
gene:AT1G09123	0	0	0	0
gene:AT1G09127	2	2	0	2
gene:AT1G70050	0	0	0	0
gene:AT1G09133	0	0	0	0
gene:AT1G09137	0	0	0	0
gene:AT1G70185	2	7	3	6
gene:AT1G09143	61	38	38	54
gene:AT1G09147	0	0	0	0
gene:AT1G09153	0	0	0	0
gene:AT1G09163	0	1	1	0
gene:AT1G09167	9	7	11	7
gene:AT1G09173	0	0	0	0
gene:AT1G09177	0	0	0	0
gene:AT1G09183	0	0	0	0
gene:AT1G09187	0	0	0	0
gene:AT1G70518	95	80	75	101
gene:AT1G70581	10	16	10	4
gene:AT1G70645	0	0	0	1
gene:AT1G09193	1901	2037	1664	1982
gene:AT1G09197	0	0	0	0
gene:AT1G09207	0	0	0	0
gene:AT1G09213	0	0	0	0
gene:AT1G71002	0	0	0	0
gene:AT1G09217	2	0	0	0
gene:AT1G09223	17	22	24	23
gene:AT1G09227	0	0	0	0
gene:AT1G09233	5	8	8	5
gene:AT1G09237	0	0	0	0
gene:AT1G09243	1	0	0	0
gene:AT1G09247	40	56	54	55
gene:AT1G09253	174	233	164	168
gene:AT1G09257	32	28	14	22
gene:AT1G71528	113	157	110	140
gene:AT1G71700	3	3	1	0
gene:AT1G09263	0	0	0	0
gene:AT1G71828	1	0	2	4
gene:AT1G09267	0	2	4	2
gene:AT1G09273	0	0	0	0
gene:AT1G09277	0	0	0	0
gene:AT1G09283	0	0	0	0
gene:AT1G09287	70	84	63	30
gene:AT1G09293	0	0	8	2
gene:AT1G09297	51	35	49	42
gene:AT1G09303	0	0	0	0
gene:AT1G09307	1	0	0	0
gene:AT1G09313	0	0	0	0
gene:AT1G09317	5	4	5	7
gene:AT1G09323	29	21	21	30
gene:AT1G09327	23	27	18	44
gene:AT1G09333	99	180	123	151
gene:AT1G09337	0	0	0	0
gene:AT1G72780	0	0	0	0
gene:AT1G72852	63	69	65	72
gene:AT1G72855	94	109	121	134
gene:AT1G09343	0	0	0	0
gene:AT1G09353	4	4	4	10
gene:AT1G09357	0	2	0	0
gene:AT1G09363	461	435	499	556
gene:AT1G09367	0	3	0	5
gene:AT1G09373	0	0	0	0
gene:AT1G09377	0	0	0	0
gene:AT1G09383	81	68	56	42
gene:AT1G09387	0	0	0	0
gene:AT1G09393	0	0	0	0
gene:AT1G09397	0	0	0	0
gene:AT1G73687	2	0	0	0
gene:AT1G09407	0	0	0	0
gene:AT1G09417	0	0	0	0
gene:AT1G73900	0	0	0	0
gene:AT1G09423	4	2	8	3
gene:AT1G74205	2	4	3	1
gene:AT1G09427	0	1	4	1
gene:AT1G09433	17	15	16	11
gene:AT1G09437	0	4	0	0
gene:AT1G09443	127	146	139	140
gene:AT1G09447	26	24	14	22
gene:AT1G09453	23	39	27	28
gene:AT1G09457	7	4	1	1
gene:AT1G09463	0	0	0	1
gene:AT1G74453	45	48	43	38
gene:AT1G74456	45	39	39	42
gene:AT1G09467	22	30	35	38
gene:AT1G09473	32	40	19	30
gene:AT1G09477	0	0	0	0
gene:AT1G74545	28	68	22	34
gene:AT1G09487	80	108	83	74
gene:AT1G74570	0	0	0	0
gene:AT1G74610	0	0	0	0
gene:AT1G09493	3	0	0	2
gene:AT1G09497	0	0	0	0
gene:AT1G09503	0	0	0	0
gene:AT1G09507	0	0	0	0
gene:AT1G09513	284	393	380	319
gene:AT1G09517	29	34	15	24
gene:AT1G75070	0	0	0	0
gene:AT1G09523	123	168	113	139
gene:AT1G09527	3	3	7	4
gene:AT1G09533	17	13	14	8
gene:AT1G75163	8	6	9	3
gene:AT1G75166	18	21	21	24
gene:AT1G09537	8	16	10	10
gene:AT1G09543	345	426	394	401
gene:AT1G75295	148	174	104	157
gene:AT1G09547	0	0	0	0
gene:AT1G09553	40	60	27	37
gene:AT1G09557	0	0	0	0
gene:AT1G09563	0	0	0	0
gene:AT1G09567	0	0	0	0
gene:AT1G75570	0	0	0	0
gene:AT1G75650	0	0	0	0
gene:AT1G09573	2	0	0	0
gene:AT1G75740	0	0	0	0
gene:AT1G09577	0	0	0	0
gene:AT1G09583	0	0	0	0
gene:AT1G09587	0	0	0	0
gene:AT1G75891	10	4	18	5
gene:AT1G09593	0	0	0	0
gene:AT1G09597	0	0	0	0
gene:AT1G09603	0	0	1	1
gene:AT1G75970	0	0	0	0
gene:AT1G76000	0	0	0	0
gene:AT1G76062	20	18	15	18
gene:AT1G09607	1	0	0	4
gene:AT1G76135	2	2	2	0
gene:AT1G09613	0	0	0	1
gene:AT1G76330	0	0	0	0
gene:AT1G09617	54	45	57	44
gene:AT1G09623	107	181	69	56
gene:AT1G09627	262	357	337	336
gene:AT1G09633	0	0	0	0
gene:AT1G09637	13	14	18	15
gene:AT1G09647	11	4	16	13
gene:AT1G09653	1	6	2	0
gene:AT1G09657	0	0	0	0
gene:AT1G09663	12	11	5	5
gene:AT1G09667	0	0	0	0
gene:AT1G09673	8	13	12	11
gene:AT1G09677	62	80	97	99
gene:AT1G76878	745	914	701	895
gene:AT1G76892	31	35	31	30
gene:AT1G09683	1	0	0	0
gene:AT1G09687	39	27	51	28
gene:AT1G09693	3	1	0	0
gene:AT1G09697	0	2	0	0
gene:AT1G77040	0	0	1	0
gene:AT1G09703	0	1	1	0
gene:AT1G09713	87	79	88	92
gene:AT1G77138	13	27	14	21
gene:AT1G77190	0	0	0	0
gene:AT1G77235	2	0	1	0
gene:AT1G09717	0	0	0	0
gene:AT1G09723	0	0	0	0
gene:AT1G09733	0	0	0	0
gene:AT1G77560	0	0	0	0
gene:AT1G09737	0	1	0	0
gene:AT1G09743	0	0	0	0
gene:AT1G09747	0	0	0	0
gene:AT1G09753	4	5	2	5
gene:AT1G09757	8	13	14	5
gene:AT1G09763	0	0	0	0
gene:AT1G09767	0	0	0	0
gene:AT1G77992	157	169	135	131
gene:AT1G09773	2	2	6	13
gene:AT1G09777	41	36	45	42
gene:AT1G09783	115	149	119	198
gene:AT1G09787	0	1	2	4
gene:AT1G78206	4	3	2	2
gene:AT1G09793	0	0	0	0
gene:AT1G09797	0	0	0	0
gene:AT1G78250	1	0	0	0
gene:AT1G78265	367	474	667	706
gene:AT1G09803	0	0	0	0
gene:AT1G09807	0	0	0	0
gene:AT1G09813	0	0	0	0
gene:AT1G78478	5	6	6	4
gene:AT1G09817	0	0	0	0
gene:AT1G09823	81	87	64	90
gene:AT1G09827	7	8	6	5
gene:AT1G78865	63	62	38	50
gene:AT1G09833	0	0	0	0
gene:AT1G09837	31	55	30	59
gene:AT1G09843	64	71	69	83
gene:AT1G79075	138	158	170	175
gene:AT1G09847	0	0	0	0
gene:AT1G09853	0	0	0	0
gene:AT1G09857	0	0	0	0
gene:AT1G79240	0	0	0	0
gene:AT1G79290	0	0	0	0
gene:AT1G79300	0	0	0	0
gene:AT1G09863	971	1232	837	996
gene:AT1G09867	6	10	12	10
gene:AT1G09873	0	1	3	0
gene:AT1G09877	10	4	7	4
gene:AT1G09883	3	5	8	9
gene:AT1G79529	211	240	260	305
gene:AT1G09887	5	11	12	11
gene:AT1G09893	47	49	55	35
gene:AT1G09897	24	44	38	37
gene:AT1G09903	30	70	60	62
gene:AT1G09907	19	21	24	29
gene:AT1G09913	47	31	34	71
gene:AT1G09917	18	19	21	16
gene:AT1G09923	2	1	4	2
gene:AT1G09927	4357	4993	4893	4926
gene:AT1G09937	0	3	4	3
gene:AT1G79980	0	0	0	0
gene:AT1G09947	0	0	0	0
gene:AT1G09953	0	0	0	0
gene:AT1G09957	0	0	0	0
gene:AT1G80250	0	0	0	0
gene:AT1G80325	916	1208	766	739
gene:AT1G09963	254	265	250	359
gene:AT1G80430	1	0	3	1
gene:AT1G09967	0	1	0	0
gene:AT1G09973	0	1	0	0
gene:AT1G09977	0	0	0	0
gene:AT1G09983	0	0	0	0
gene:AT1G09987	22	56	26	55
gene:AT1G09993	66	53	66	60
gene:AT1G09997	0	0	0	0
gene:AT2G03855	24	26	25	27
gene:AT2G01010	87122	23182	87679	85615
gene:AT2G01020	1087	1078	1349	1445
gene:AT2G03885	0	0	0	0
gene:AT2G03895	375	459	407	371
gene:AT2G01160	0	0	0	0
gene:AT2G03905	0	0	0	0
gene:AT2G03925	414	437	415	379
gene:AT2G03945	0	0	0	0
gene:AT2G03975	316	343	348	393
gene:AT2G03985	0	0	0	0
gene:AT2G01422	0	4	4	0
gene:AT2G03995	30	40	23	51
gene:AT2G04005	0	2	0	0
gene:AT2G04015	0	0	0	0
gene:AT2G04065	2	6	5	7
gene:AT2G04075	0	0	0	0
gene:AT2G04085	0	0	0	0
gene:AT2G04095	0	0	0	0
gene:AT2G04125	27	40	40	45
gene:AT2G04145	177	155	129	170
gene:AT2G04155	0	0	0	0
gene:AT2G04175	0	0	0	0
gene:AT2G04185	0	0	0	0
gene:AT2G04195	2	0	0	0
gene:AT2G04205	0	0	1	1
gene:AT2G04215	0	0	0	0
gene:AT2G04225	0	0	0	0
gene:AT2G02600	0	0	0	0
gene:AT2G04255	0	0	0	0
gene:AT2G04265	0	0	0	0
gene:AT2G04285	2	4	0	0
gene:AT2G02741	4	8	2	0
gene:AT2G04295	16	28	28	31
gene:AT2G04315	0	0	0	0
gene:AT2G04325	0	0	0	0
gene:AT2G04335	0	0	0	0
gene:AT2G04345	0	0	0	0
gene:AT2G04355	0	0	0	0
gene:AT2G04365	0	0	0	0
gene:AT2G02900	0	0	0	0
gene:AT2G04375	6	22	22	16
gene:AT2G04405	1	0	1	0
gene:AT2G04435	2	0	1	0
gene:AT2G04455	0	0	0	0
